,Countries
0,Andorra
1,Aruba
2,Belize
3,Bermuda
4,Bolivia
5,"Bolivia, Plurinational State of"
6,Burkina Faso
7,Burundi
8,Cayman Islands
9,Central African Republic
10,Chad
11,"Congo, Democratic Republic of"
12,Czech Republic
13,Czechia
14,Czechoslovakia
15,Eritrea
16,Eswatini
17,"Eswatini, Kingdom of"
18,Ethiopia PDR
19,French Guiana
20,French Polynesia
21,Guadeloupe
22,Guinea
23,Guinea-Bissau
24,"Hong Kong, China, SAR"
25,Iceland
26,Kiribati
27,"Korea, Democratic People's Republic of"
28,Liberia
29,Libya
30,Libyan Arab Jamahiriya
31,Liechtenstein
32,Macedonia TFYR
33,Maldives
34,Mali
35,Marshall Islands
36,Martinique
37,"Micronesia, Federated States of"
38,Moldova
39,"Moldova, Republic of"
40,Mozambique
41,Namibia
42,Niger
43,North Macedonia
44,Palau
45,"Palestine, State of"
46,Réunion
47,Saint Kitts and Nevis
48,Saint Vincent and the Grenadines
49,Serbia and Montenegro
50,Seychelles
51,Sierra Leone
52,Solomon Islands
53,Somalia
54,Sudan
55,Sudan (former)
56,USSR
57,United States
58,United States of America
59,Vanuatu
60,Yemen
61,Yugoslav SFR
