,country,year,c_consumed,c_produced,hdi
0,Afghanistan,1990,0.118341288,0.07258612099999999,0.302
1,Albania,1990,0.781991332,0.652289265,0.65
2,Angola,1990,0.134988946,0.111797243,NaN
3,Argentina,1990,0.7858461259999999,1.064231725,0.718
4,Australia,1990,4.328900817,5.392423493,0.871
5,Austria,1990,3.2096927689999997,2.6883402660000004,0.803
6,Bahamas,1990,3.376211749,2.5880356669999998,NaN
7,Bahrain,1990,7.947046116,8.219086458,0.749
8,Barbados,1990,2.428269686,1.403260313,0.732
9,Bangladesh,1990,0.062713034,0.041887886,0.394
10,Bhutan,1990,0.078462066,0.081233576,NaN
11,Botswana,1990,0.9241299209999999,0.691581012,0.573
12,Brazil,1990,0.471564156,0.478606996,0.613
13,Brunei Darussalam,1990,2.187454275,4.3399100289999994,0.767
14,Myanmar,1990,0.041631371,0.031848403,0.342
15,Cameroon,1990,0.116345991,0.08694417300000001,0.448
16,Canada,1990,4.8348264919999995,5.457289731,0.85
17,Sri Lanka,1990,0.159121564,0.078449807,0.629
18,Chile,1990,0.637586681,0.8161866990000001,0.706
19,Colombia,1990,0.566053269,0.493828855,0.603
20,Congo,1990,0.080154545,0.083673022,0.5
21,Costa Rica,1990,0.5935358239999999,0.307402766,0.665
22,Cuba,1990,1.48802451,1.166190872,0.68
23,Benin,1990,0.110986018,0.027222064,0.364
24,Denmark,1990,4.648963,3.441137905,0.806
25,Dominican Republic,1990,0.498687259,0.373848731,0.599
26,El Salvador,1990,0.346028111,0.155086502,0.536
27,Fiji,1990,0.685944555,0.379940289,0.662
28,France,1990,3.092447939,2.235696614,0.786
29,Gambia,1990,0.166541138,0.065287656,0.349
30,Germany,1990,4.477860725,4.23106861,0.808
31,Ghana,1990,0.158607928,0.07187331400000001,0.465
32,Greece,1990,2.7987098319999997,2.572384265,0.761
33,Guyana,1990,0.444107329,0.518390819,0.548
34,Haiti,1990,0.07718146599999999,0.052558397,0.414
35,India,1990,0.233616123,0.22331029300000002,0.429
36,Indonesia,1990,0.29180774,0.27807236399999996,0.523
37,Israel,1990,2.9397207869999997,2.651214532,0.801
38,Italy,1990,3.1004858160000004,2.493124431,0.776
39,Côte d'Ivoire,1990,0.128124961,0.080352828,0.404
40,Japan,1990,3.66052431,3.081893137,0.818
41,Jordan,1990,0.534454248,0.9638595879999999,0.625
42,Kenya,1990,0.13808225300000002,0.09141062400000001,0.482
43,Lao People's Democratic Republic,1990,0.095127158,0.016984103,0.405
44,Lebanon,1990,2.053281056,0.7543277359999999,NaN
45,Lesotho,1990,0.347148831,0.31254040899999996,0.498
46,Madagascar,1990,0.042268317,0.027845975,NaN
47,Malawi,1990,0.06308421,0.026954988,0.333
48,Malaysia,1990,0.784393302,1.008085635,0.643
49,Mexico,1990,1.183403345,1.125725074,0.656
50,Nepal,1990,0.049966015999999995,0.018119284,0.387
51,Netherlands,1990,3.882092657,3.626964147,0.836
