Back,"Table 2. Human Development Index trends, 1990-2019",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human Development Index (HDI) ,,,,,,,,,,,,,,,,Change in HDI rank ,,Average annual HDI growth,,,,,,
,,Value,,,,,,,,,,,,,,,,,,(%),,,,,,
HDI rank,Country,1990,,2000,,2010,,2014,,2015,,2017,,2018,,2019,,2014-2019,,1990-2000,,2000-2010,,2010-2019,,1990-2019
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,0.849,,0.915,,0.94,,0.944,,0.947,,0.954,,0.956,,0.957,,0,,0.75,,0.27,,0.2,,0.41
2,Ireland,0.773,,0.867,,0.901,,0.928,,0.935,,0.947,,0.951,,0.955,,7,,1.15,,0.39,,0.65,,0.73
2,Switzerland,0.84,,0.898,,0.941,,0.942,,0.947,,0.949,,0.955,,0.955,,0,,0.67,,0.47,,0.16,,0.44
4,"Hong Kong, China (SAR)",0.784,,0.83,,0.904,,0.926,,0.93,,0.941,,0.946,,0.949,,7,,0.57,,0.86,,0.54,,0.66
4,Iceland,0.807,,0.867,,0.898,,0.931,,0.934,,0.943,,0.946,,0.949,,4,,0.72,,0.35,,0.62,,0.56
6,Germany,0.808,,0.876,,0.927,,0.937,,0.938,,0.943,,0.946,,0.947,,-3,,0.81,,0.57,,0.24,,0.55
7,Sweden,0.821,,0.903,,0.911,,0.935,,0.938,,0.942,,0.943,,0.945,,-3,,0.96,,0.09,,0.41,,0.49
8,Australia,0.871,,0.903,,0.93,,0.933,,0.938,,0.941,,0.943,,0.944,,-2,,0.36,,0.3,,0.17,,0.28
8,Netherlands,0.836,,0.882,,0.917,,0.932,,0.934,,0.939,,0.942,,0.944,,-1,,0.54,,0.39,,0.32,,0.42
10,Denmark,0.806,,0.87,,0.917,,0.935,,0.933,,0.936,,0.939,,0.94,,-6,,0.77,,0.53,,0.28,,0.53
11,Finland,0.79,,0.864,,0.916,,0.928,,0.93,,0.935,,0.937,,0.938,,-2,,0.9,,0.59,,0.26,,0.59
11,Singapore,0.721,,0.821,,0.909,,0.926,,0.931,,0.933,,0.936,,0.938,,0,,1.31,,1.02,,0.35,,0.91
13,United Kingdom,0.781,,0.874,,0.912,,0.925,,0.923,,0.926,,0.928,,0.932,,0,,1.13,,0.43,,0.24,,0.61
14,Belgium,0.813,,0.88,,0.91,,0.918,,0.922,,0.929,,0.93,,0.931,,1,,0.8,,0.34,,0.25,,0.47
14,New Zealand,0.826,,0.876,,0.906,,0.916,,0.921,,0.926,,0.928,,0.931,,3,,0.59,,0.34,,0.3,,0.41
16,Canada,0.85,,0.867,,0.901,,0.918,,0.921,,0.926,,0.928,,0.929,,-1,,0.2,,0.39,,0.34,,0.31
17,United States,0.865,,0.886,,0.916,,0.92,,0.921,,0.924,,0.925,,0.926,,-3,,0.24,,0.33,,0.12,,0.24
18,Austria,0.803,,0.847,,0.904,,0.913,,0.915,,0.919,,0.921,,0.922,,0,,0.53,,0.65,,0.22,,0.48
19,Israel,0.801,,0.861,,0.895,,0.909,,0.91,,0.913,,0.916,,0.919,,1,,0.72,,0.39,,0.29,,0.48
19,Japan,0.818,,0.858,,0.887,,0.906,,0.908,,0.915,,0.917,,0.919,,2,,0.48,,0.33,,0.39,,0.4
19,Liechtenstein,..,,0.862,,0.904,,0.911,,0.911,,0.916,,0.919,,0.919,,0,,..,,0.48,,0.18,,..
22,Slovenia,0.774,,0.832,,0.889,,0.894,,0.894,,0.907,,0.912,,0.917,,2,,0.73,,0.66,,0.35,,0.59
23,Korea (Republic of),0.732,,0.823,,0.889,,0.904,,0.907,,0.912,,0.914,,0.916,,-1,,1.18,,0.77,,0.33,,0.78
23,Luxembourg,0.797,,0.86,,0.898,,0.903,,0.906,,0.913,,0.913,,0.916,,0,,0.76,,0.43,,0.22,,0.48
25,Spain,0.761,,0.832,,0.872,,0.888,,0.895,,0.903,,0.905,,0.904,,1,,0.9,,0.47,,0.4,,0.6
26,France,0.786,,0.849,,0.879,,0.893,,0.895,,0.897,,0.898,,0.901,,-1,,0.77,,0.35,,0.28,,0.47
27,Czechia,0.738,,0.804,,0.87,,0.888,,0.891,,0.896,,0.898,,0.9,,-1,,0.86,,0.79,,0.38,,0.69
28,Malta,0.752,,0.795,,0.853,,0.874,,0.88,,0.888,,0.894,,0.895,,2,,0.56,,0.71,,0.54,,0.6
29,Estonia,0.735,,0.787,,0.852,,0.871,,0.877,,0.885,,0.889,,0.892,,2,,0.69,,0.8,,0.51,,0.67
29,Italy,0.776,,0.838,,0.879,,0.882,,0.882,,0.886,,0.89,,0.892,,-1,,0.77,,0.48,,0.16,,0.48
31,United Arab Emirates,0.723,,0.782,,0.82,,0.847,,0.859,,0.881,,0.889,,0.89,,6,,0.79,,0.48,,0.91,,0.72
32,Greece,0.761,,0.804,,0.865,,0.875,,0.877,,0.879,,0.881,,0.888,,-3,,0.55,,0.73,,0.29,,0.53
33,Cyprus,0.735,,0.804,,0.856,,0.862,,0.865,,0.878,,0.885,,0.887,,0,,0.9,,0.63,,0.4,,0.65
34,Lithuania,0.738,,0.762,,0.831,,0.859,,0.862,,0.873,,0.876,,0.882,,0,,0.32,,0.87,,0.66,,0.62
35,Poland,0.718,,0.79,,0.84,,0.858,,0.863,,0.873,,0.877,,0.88,,0,,0.96,,0.62,,0.52,,0.7
36,Andorra,..,,0.813,,0.837,,0.863,,0.862,,0.863,,0.867,,0.868,,-4,,..,,0.29,,0.4,,..
37,Latvia,0.711,,0.735,,0.824,,0.845,,0.849,,0.859,,0.863,,0.866,,3,,0.33,,1.15,,0.55,,0.68
38,Portugal,0.718,,0.792,,0.829,,0.847,,0.854,,0.858,,0.86,,0.864,,-1,,0.99,,0.46,,0.46,,0.64
39,Slovakia,0.741,,0.765,,0.831,,0.847,,0.85,,0.855,,0.858,,0.86,,-2,,0.32,,0.83,,0.38,,0.51
40,Hungary,0.708,,0.772,,0.831,,0.838,,0.842,,0.846,,0.85,,0.854,,1,,0.87,,0.74,,0.3,,0.65
40,Saudi Arabia,0.697,,0.743,,0.809,,0.852,,0.859,,0.852,,0.854,,0.854,,-4,,0.64,,0.85,,0.6,,0.7
42,Bahrain,0.749,,0.795,,0.8,,0.82,,0.848,,0.854,,0.852,,0.852,,6,,0.6,,0.06,,0.7,,0.45
43,Chile,0.706,,0.756,,0.803,,0.837,,0.842,,0.847,,0.849,,0.851,,0,,0.69,,0.6,,0.65,,0.65
43,Croatia,0.677,,0.757,,0.815,,0.835,,0.84,,0.845,,0.848,,0.851,,2,,1.12,,0.74,,0.48,,0.79
45,Qatar,0.75,,0.816,,0.834,,0.835,,0.839,,0.848,,0.845,,0.848,,0,,0.85,,0.22,,0.19,,0.42
46,Argentina,0.718,,0.781,,0.829,,0.836,,0.84,,0.843,,0.842,,0.845,,-2,,0.84,,0.6,,0.21,,0.56
47,Brunei Darussalam,0.767,,0.802,,0.827,,0.838,,0.838,,0.838,,0.836,,0.838,,-6,,0.45,,0.31,,0.15,,0.31
48,Montenegro,..,,..,,0.802,,0.813,,0.816,,0.822,,0.826,,0.829,,2,,..,,..,,0.37,,..
49,Romania,0.708,,0.716,,0.805,,0.811,,0.815,,0.821,,0.823,,0.828,,2,,0.11,,1.18,,0.31,,0.54
50,Palau,..,,0.744,,0.786,,0.825,,0.82,,0.822,,0.822,,0.826,,-3,,..,,0.55,,0.55,,..
51,Kazakhstan,0.69,,0.685,,0.764,,0.798,,0.806,,0.815,,0.819,,0.825,,7,,-0.07,,1.1,,0.86,,0.62
52,Russian Federation,0.735,,0.722,,0.781,,0.807,,0.809,,0.82,,0.823,,0.824,,1,,-0.18,,0.79,,0.6,,0.39
53,Belarus,..,,0.686,,0.795,,0.814,,0.814,,0.819,,0.823,,0.823,,-4,,..,,1.49,,0.39,,..
54,Turkey,0.583,,0.66,,0.739,,0.796,,0.801,,0.814,,0.817,,0.82,,5,,1.25,,1.14,,1.16,,1.18
55,Uruguay,0.694,,0.743,,0.782,,0.803,,0.806,,0.814,,0.816,,0.817,,1,,0.68,,0.51,,0.49,,0.56
56,Bulgaria,0.708,,0.72,,0.788,,0.806,,0.809,,0.811,,0.813,,0.816,,-2,,0.17,,0.91,,0.39,,0.49
57,Panama,0.675,,0.735,,0.774,,0.795,,0.799,,0.811,,0.812,,0.815,,5,,0.86,,0.52,,0.58,,0.65
58,Bahamas,..,,0.797,,0.805,,0.805,,0.808,,0.812,,0.812,,0.814,,-3,,..,,0.1,,0.12,,..
58,Barbados,0.732,,0.771,,0.797,,0.808,,0.809,,0.81,,0.81,,0.814,,-6,,0.52,,0.33,,0.23,,0.37
60,Oman,..,,0.693,,0.782,,0.802,,0.814,,0.819,,0.813,,0.813,,-3,,..,,1.22,,0.43,,..
61,Georgia,..,,0.69,,0.751,,0.783,,0.79,,0.799,,0.805,,0.812,,7,,..,,0.85,,0.87,,..
62,Costa Rica,0.665,,0.721,,0.765,,0.796,,0.797,,0.804,,0.808,,0.81,,-3,,0.81,,0.59,,0.64,,0.68
62,Malaysia,0.643,,0.723,,0.772,,0.791,,0.796,,0.805,,0.805,,0.81,,1,,1.18,,0.66,,0.54,,0.8
64,Kuwait,0.705,,0.781,,0.788,,0.796,,0.801,,0.805,,0.807,,0.806,,-5,,1.03,,0.09,,0.25,,0.46
64,Serbia,0.722,,0.716,,0.766,,0.784,,0.789,,0.798,,0.803,,0.806,,3,,-0.08,,0.68,,0.57,,0.38
66,Mauritius,0.624,,0.678,,0.751,,0.789,,0.789,,0.797,,0.801,,0.804,,-2,,0.83,,1.03,,0.76,,0.88
,HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,
67,Seychelles,..,,0.714,,0.764,,0.775,,0.786,,0.789,,0.79,,0.796,,2,,..,,0.68,,0.46,,..
67,Trinidad and Tobago,0.668,,0.717,,0.784,,0.785,,0.792,,0.795,,0.795,,0.796,,-1,,0.71,,0.9,,0.17,,0.61
69,Albania,0.65,,0.671,,0.745,,0.787,,0.788,,0.79,,0.792,,0.795,,-4,,0.32,,1.05,,0.72,,0.7
70,Cuba,0.68,,0.691,,0.781,,0.767,,0.772,,0.777,,0.781,,0.783,,5,,0.16,,1.23,,0.03,,0.49
70,Iran (Islamic Republic of),0.565,,0.658,,0.742,,0.774,,0.774,,0.787,,0.785,,0.783,,1,,1.54,,1.21,,0.6,,1.13
72,Sri Lanka,0.629,,0.691,,0.754,,0.773,,0.776,,0.775,,0.779,,0.782,,0,,0.94,,0.88,,0.41,,0.75
73,Bosnia and Herzegovina,..,,0.679,,0.721,,0.758,,0.761,,0.774,,0.777,,0.78,,8,,..,,0.6,,0.88,,..
74,Grenada,..,,..,,0.754,,0.766,,0.77,,0.77,,0.773,,0.779,,2,,..,,..,,0.36,,..
74,Mexico,0.656,,0.708,,0.748,,0.761,,0.766,,0.771,,0.776,,0.779,,4,,0.77,,0.55,,0.45,,0.59
74,Saint Kitts and Nevis,..,,..,,0.746,,0.768,,0.768,,0.77,,0.773,,0.779,,0,,..,,..,,0.48,,..
74,Ukraine,0.725,,0.694,,0.755,,0.771,,0.765,,0.771,,0.774,,0.779,,-1,,-0.44,,0.85,,0.35,,0.25
78,Antigua and Barbuda,..,,..,,0.763,,0.76,,0.762,,0.768,,0.772,,0.778,,1,,..,,..,,0.22,,..
79,Peru,0.613,,0.679,,0.721,,0.76,,0.759,,0.767,,0.771,,0.777,,0,,1.03,,0.6,,0.83,,0.82
79,Thailand,0.577,,0.652,,0.724,,0.742,,0.749,,0.765,,0.772,,0.777,,8,,1.23,,1.05,,0.79,,1.03
81,Armenia,0.654,,0.669,,0.747,,0.764,,0.768,,0.769,,0.771,,0.776,,-4,,0.23,,1.11,,0.42,,0.59
82,North Macedonia,..,,0.677,,0.743,,0.755,,0.761,,0.767,,0.77,,0.774,,2,,..,,0.93,,0.46,,..
